Criteria_ID,Category,Sub_Category,Question,Description,Area_Type,Max_Score,Active
C-33-1,ห้องล้างอุปกรณ์,33.1,สภาพห้องสมบูรณ์ พื้น ผนัง เพดานไม่ชำรุด ไม่มีรูหรือช่องเสี่ยงปนเปื้อน,ไม่มีช่องที่เสี่ยงต่อการปนเปื้อนข้าม,Production,2,TRUE
C-33-2,ห้องล้างอุปกรณ์,33.2,พื้นไม่มีน้ำขัง ผนัง เพดานสะอาด ไม่เป็นแหล่งสะสมคราบ,ไม่มีน้ำขังและคราบสะสม,Production,2,TRUE
C-33-3,ห้องล้างอุปกรณ์,33.3,สายยางจัดเก็บเรียบร้อย ไม่วางกับพื้น,สายยางเก็บบนที่แขวนหรือม้วนเก็บ,Production,2,TRUE
C-33-4,ห้องล้างอุปกรณ์,33.4,รถเข็น ถังบีบ ม็อบ อุปกรณ์ทำความสะอาดจัดเก็บในที่กำหนด พร้อมใช้งาน,อุปกรณ์วางถูกที่ พร้อมใช้งาน,Production,2,TRUE
C-34-1,โรงอาหาร,34.1,สะอาด ไม่มีผงฝุ่น น้ำบนพื้น ไม่มีกลิ่น ไม่มีเศษขยะ/อาหาร,พื้นโรงอาหารสะอาดตลอดเวลา,Cafeteria,2,TRUE
C-34-2,โรงอาหาร,34.2,ไม่มีสิ่งของไม่เกี่ยวข้องในบริเวณโรงอาหาร เช่น เครื่องจักร,ไม่มีเครื่องจักรหรืออุปกรณ์ผลิตในโรงอาหาร,Cafeteria,2,TRUE
C-34-3,โรงอาหาร,34.3,โต๊ะเก้าอี้ไม่ชำรุด,สภาพสมบูรณ์,Cafeteria,2,TRUE
C-34-4,โรงอาหาร,34.4,โต๊ะอาหาร/เตรียมอาหาร เก้าอี้ ชั้นวางจาน เครื่องใช้ครัว สะอาดและจัดวางเป็นระเบียบ,ทุกอุปกรณ์ครัวสะอาดและเป็นระเบียบ,Cafeteria,2,TRUE
C-34-5,โรงอาหาร,34.5,อุปกรณ์เครื่องครัวและเครื่องใช้ไฟฟ้าสะอาดทั้งภายในและภายนอก,หม้อหุงข้าว ไมโครเวฟ กระติกน้ำร้อนสะอาด,Cafeteria,2,TRUE
C-34-6,โรงอาหาร,34.6,ถังขยะมีฝาปิดมิดชิด หรือขยะไม่ล้นออกจากถัง,ฝาปิดมิดชิด ขยะไม่ล้น,Cafeteria,2,TRUE
C-34-7,โรงอาหาร,34.7,ปลั๊กไฟ สวิทซ์ไฟ สายไฟ ปลั๊กพ่วงพร้อมใช้งาน ไม่ชำรุด,สภาพสมบูรณ์ปลอดภัย,Cafeteria,2,TRUE
C-34-8,โรงอาหาร,34.8,โครงสร้างเพดาน ผนังสะอาด ไม่มีหยากไย่ ไม่มีนกตายบนตาข่ายกันนก,สภาพโครงสร้างสะอาดสมบูรณ์,Cafeteria,2,TRUE
